Filename,ProductName,Version
Quicken_Deluxe_2014.exe,Quicken 2014                                                ,4.1.100.1332
CryoTracker.exe,CryoTracker,1.0.0.0
unins000.exe,,51.1052.0.0
ARPPRODUCTICON.exe,InstallShield,23.0.0.511
ARPPRODUCTICON.exe,InstallShield,23.0.0.511
ARPPRODUCTICON.exe,InstallShield,23.0.0.511
ARPPRODUCTICON.exe,InstallShield,23.0.0.511
ARPPRODUCTICON.exe,InstallShield,23.0.0.511
ARPPRODUCTICON.exe,InstallShield,23.0.0.511
AMD_Chipset_Drivers.exe,AMD_Chipset_Drivers,1.11.22.454
devcon.exe,Microsoft® Windows® Operating System,10.0.16190.1000
AMD_Chipset_Drivers.exe,AMD_Chipset_Drivers,1.11.22.454
devcon.exe,Microsoft® Windows® Operating System,10.0.16190.1000
devcon.exe,Microsoft® Windows® Operating System,10.0.16190.1000
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
AMDPPMSettings.exe,AMD PPM Settings,5.0.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst.exe,Driver Package Installer (DPInst),2.1.0.0
dpinst64.exe,Driver Package Installer (DPInst),2.1.0.0
